Site_ID_Mitratel,Site_ID_Tenant,Site_Name,Latitude,Longitude
M00-JT-86022,14GRO017,TEGOWANU,-7.048806,110.616322
M00-JT-86024,14GRO030,KLAMBU,-7.009544,110.798914
M01-JT-17005,14JPA050,SEKURO MT,-6.530021,110.735711
M00-JT-69852,14JPA137,NGATEMO_JPA,-6.581836,110.725256
M01-JT-17007,14JPA041,LEBAKPL MT,-6.586688,110.745059
M00-JT-86010,14JPA035,MOJO,-6.627555,110.717455
M01-JT-16943,14JPA009,WELAHAN,-6.784209,110.722054
M00-JT-65139,14JPA124,MAYONG_KIDUL_JPA,-6.769828,110.751941
M00-JT-86028,14JPA033,NALUMSARI,-6.744205,110.797818
M00-JT-69854,14JPA130,TALAHOME_JPA,-6.628718,110.737608
M00-JT-67028,14KDS141,NGEMBAL_KULON_KDS,-6.811426,110.884518
M00-JT-60138,14KDS147,CRANGGANG_TMR_KDS,-6.710659,110.905203
M00-JT-85226,14KDS026,PLANG,-6.74587,110.899591
M00-JT-85228,14KDS034,SIDOMULYOKD,-6.937528,110.787421
M00-JT-67020,14KDS079,JATIWETAN_KDS_MT,-6.844939,110.818145
,14KDS015,KUDUSBRT_MT,-6.841459,110.832792
,14KDS005,GEBOG,-6.72896,110.844874
M00-JT-85262,14PAT036,PATIUTARA,-6.736975,111.043272
M00-JT-61951,14PAT020,DADIREJO_MT,-6.764753,111.040413
,14PAT007,PATI_KOTA,-6.754942,111.043574
